,timestamp,LatAcc,LongAcc,YawRate,SteeringAng,BrkPed,WheelVelR,WheelVelL,TrnsShft,VehSpd,ThrPstn
133,1650198283, , , ,-2.75, , , , , , 
134,1650198283, , , , ,0.392157, , , , , 
135,1650198283, , , , , , , ,4, , 
136,1650198283, , , , , ,4.488,4.492, , , 
137,1650198283,0.125,-0.1875, , , , , , , , 
138,1650198283, , ,-0.528, , , , , , , 
139,1650198283, , , , ,0.392157, , , , , 
140,1650198283, , , ,-2.75, , , , , , 
141,1650198283, , , , , ,4.492,4.492, , , 
142,1650198283,0.125,-0.125, , , , , , , , 
143,1650198283, , ,-0.552, , , , , , , 
144,1650198283, , , , , , , ,4, , 
145,1650198283, , , , , , , , ,41.578125, 
146,1650198283, , , ,-2.75, , , , , , 
147,1650198283, , , , ,0.392157, , , , , 
148,1650198283, , , , , ,4.492,4.492, , , 
149,1650198283,0.0625,-0.125, , , , , , , , 
150,1650198283, , ,-0.552, , , , , , , 
151,1650198283, , , , , , , , , ,0.392157
152,1650198283, , , , , , , ,4, , 
153,1650198283, , , ,-2.8125, , , , , , 
154,1650198283, , , , ,0.392157, , , , , 
155,1650198283, , , , , ,4.48,4.492, , , 
156,1650198283,0.0625,-0.1875, , , , , , , , 
157,1650198283, , ,-0.528, , , , , , , 
158,1650198283, , , , , , , ,4, , 
159,1650198283, , , ,-2.875, , , , , , 
160,1650198283, , , , ,0.392157, , , , , 
161,1650198283, , , , , ,4.488,4.488, , , 
162,1650198283,0.125,-0.25, , , , , , , , 
163,1650198283, , ,-0.456, , , , , , , 
164,1650198283, , , ,-3, , , , , , 
165,1650198283, , , , , , , ,4, , 
166,1650198283, , , , ,0.392157, , , , , 
167,1650198283, , , , , ,4.484,4.484, , , 
168,1650198283,0.1875,-0.3125, , , , , , , , 
169,1650198283, , ,-0.432, , , , , , , 
170,1650198283, , , ,-3.125, , , , , , 
171,1650198283, , , , ,0.392157, , , , , 
172,1650198283, , , , , ,4.484,4.488, , , 
173,1650198283,0.1875,-0.3125, , , , , , , , 
174,1650198283, , ,-0.432, , , , , , , 
175,1650198283, , , , , , , ,4, , 
176,1650198283, , , ,-3.125, , , , , , 
177,1650198283, , , , ,0.392157, , , , , 
178,1650198283, , , , , ,4.492,4.488, , , 
179,1650198283,0.125,-0.3125, , , , , , , , 
180,1650198283, , ,-0.432, , , , , , , 
181,1650198283, , , , , , , ,4, , 
182,1650198283, , , ,-3.1875, , , , , , 
183,1650198283, , , , ,0.392157, , , , , 
184,1650198283, , , , , ,4.48,4.496, , , 
185,1650198283,0.0625,-0.25, , , , , , , , 
186,1650198283, , ,-0.456, , , , , , , 
187,1650198283, , , , , , , ,4, , 
188,1650198283, , , ,-3.25, , , , , , 
189,1650198283, , , , ,0.392157, , , , , 
190,1650198283, , , , , ,4.488,4.492, , , 
191,1650198283,0,-0.1875, , , , , , , , 
192,1650198283, , ,-0.48, , , , , , , 
193,1650198283, , , ,-3.3125, , , , , , 
194,1650198283, , , , ,0.392157, , , , , 
195,1650198283, , , , , , , ,4, , 
196,1650198283, , , , , ,4.484,4.492, , , 
197,1650198283,0,-0.1875, , , , , , , , 
198,1650198283, , ,-0.504, , , , , , , 
199,1650198283, , , ,-3.375, , , , , , 
200,1650198283, , , , ,0.392157, , , , , 
201,1650198283, , , , , ,4.488,4.488, , , 
202,1650198283,0.0625,-0.1875, , , , , , , , 
203,1650198283, , ,-0.48, , , , , , , 
204,1650198283, , , , , , , ,4, , 
205,1650198283, , , , , , , , ,41.578125, 
206,1650198283, , , ,-3.375, , , , , , 
207,1650198283, , , , ,0.392157, , , , , 
208,1650198283, , , , , ,4.488,4.48, , , 
209,1650198283,0.0625,-0.25, , , , , , , , 
210,1650198283, , ,-0.48, , , , , , , 
211,1650198283, , , , , , , , , ,0.392157
212,1650198283, , , , , , , ,4, , 
213,1650198283, , , ,-3.4375, , , , , , 
214,1650198283, , , , ,0.392157, , , , , 
215,1650198283, , , , , ,4.488,4.492, , , 
216,1650198283,0.125,-0.25, , , , , , , , 
217,1650198283, , ,-0.504, , , , , , , 
218,1650198283, , , , , , , ,4, , 
219,1650198283, , , ,-3.4375, , , , , , 
220,1650198283, , , , ,0.392157, , , , , 
221,1650198283, , , , , ,4.492,4.488, , , 
222,1650198283,0.1875,-0.25, , , , , , , , 
223,1650198283, , ,-0.528, , , , , , , 
224,1650198283, , , ,-3.4375, , , , , , 
225,1650198283, , , , ,0.392157, , , , , 
226,1650198283, , , , , , , ,4, , 
227,1650198283, , , , , ,4.496,4.48, , , 
228,1650198283,0.125,-0.25, , , , , , , , 
229,1650198283, , ,-0.552, , , , , , , 
230,1650198283, , , ,-3.4375, , , , , , 
231,1650198283, , , , ,0.392157, , , , , 
232,1650198283, , , , , ,4.484,4.484, , , 
233,1650198283,0.125,-0.1875, , , , , , , , 
234,1650198283, , ,-0.576, , , , , , , 
235,1650198283, , , , , , , ,4, , 
236,1650198283, , , ,-3.5, , , , , , 
237,1650198283, , , , ,0.392157, , , , , 
238,1650198283, , , , , ,4.492,4.48, , , 
239,1650198283,0.0625,-0.125, , , , , , , , 
240,1650198283, , ,-0.552, , , , , , , 
241,1650198283, , , , , , , ,4, , 
242,1650198283, , , ,-3.5, , , , , , 
243,1650198283, , , , ,0.392157, , , , , 
244,1650198283, , , , , ,4.488,4.48, , , 
245,1650198283,0.0625,-0.125, , , , , , , , 
246,1650198283, , ,-0.504, , , , , , , 
247,1650198283, , , , , , , ,4, , 
248,1650198283, , , , , , , , , , 
249,1650198283, , , ,-3.5, , , , , , 
250,1650198283, , , , ,0.392157, , , , , 
251,1650198283, , , , , ,4.488,4.492, , , 
252,1650198283,0.125,-0.1875, , , , , , , , 
253,1650198283, , ,-0.48, , , , , , , 
254,1650198283, , , ,-3.5, , , , , , 
255,1650198283, , , , , , , ,4, , 
256,1650198283, , , , ,0.392157, , , , , 
257,1650198283, , , , , ,4.48,4.488, , , 
258,1650198283,0.125,-0.25, , , , , , , , 
259,1650198283, , ,-0.528, , , , , , , 
260,1650198283, , , ,-3.5625, , , , , , 
261,1650198283, , , , ,0.392157, , , , , 
262,1650198283,0.0625,-0.25, , , , , , , , 
263,1650198283, , , , , ,4.492,4.488, , , 
264,1650198283, , ,-0.6, , , , , , , 
265,1650198283, , , , , , , ,4, , 
266,1650198283, , , , , , , , ,41.484375, 
267,1650198284, , , ,-3.5625, , , , , , 
268,1650198284, , , , ,0.392157, , , , , 
269,1650198284, , , , , ,4.484,4.492, , , 
270,1650198284,0,-0.25, , , , , , , , 
271,1650198284, , ,-0.648, , , , , , , 
272,1650198284, , , , , , , , , ,0.392157
273,1650198284, , , , , , , ,4, , 
274,1650198284, , , , , , , , , , 
275,1650198284, , , ,-3.5625, , , , , , 
276,1650198284, , , , ,0.392157, , , , , 
277,1650198284, , , , , ,4.476,4.492, , , 
278,1650198284,0,-0.1875, , , , , , , , 
279,1650198284, , ,-0.672, , , , , , , 
280,1650198284, , , , , , , ,4, , 
281,1650198284, , , ,-3.5625, , , , , , 
282,1650198284, , , , ,0.392157, , , , , 
283,1650198284, , , , , ,4.484,4.492, , , 
284,1650198284,0,-0.125, , , , , , , , 
285,1650198284, , ,-0.624, , , , , , , 
